{'run_name': 'run 2020-04-07-00-46', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 128, 'filters_1': 128, 'filters_2': 32, 'optimizer': 'Adam', 'val_accuracy': 0.3988603949546814, 'average': 0.34472934472934474, 'grouped_average': 0.603988603988604}
{'run_name': 'run 2020-04-07-00-50', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 128, 'filters_1': 128, 'filters_2': 32, 'optimizer': 'Adam', 'val_accuracy': 0.13960114121437073, 'average': 0.1396011396011396, 'grouped_average': 0.6011396011396012}
{'run_name': 'run 2020-04-07-00-51', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 256, 'filters_1': 64, 'filters_2': 32, 'optimizer': 'Adam', 'val_accuracy': 0.13960114121437073, 'average': 0.1396011396011396, 'grouped_average': 0.6011396011396012}
{'run_name': 'run 2020-04-07-00-51', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 128, 'filters_1': 64, 'filters_2': 64, 'optimizer': 'Adam', 'val_accuracy': 0.13960114121437073, 'average': 0.1396011396011396, 'grouped_average': 0.6011396011396012}
{'run_name': 'run 2020-04-07-02-07', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 128, 'filters_1': 128, 'filters_2': 32, 'optimizer': 'Adam', 'val_accuracy': 0.3817663788795471, 'average': 0.3817663817663818, 'grouped_average': 0.6239316239316239}
{'run_name': 'run 2020-04-07-03-57', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 256, 'filters_1': 64, 'filters_2': 32, 'optimizer': 'Adam', 'val_accuracy': 0.38461539149284363, 'average': 0.3789173789173789, 'grouped_average': 0.6353276353276354}
{'run_name': 'run 2020-04-07-04-54', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 128, 'filters_1': 64, 'filters_2': 64, 'optimizer': 'Adam', 'val_accuracy': 0.3817663788795471, 'average': 0.3561253561253561, 'grouped_average': 0.5754985754985755}
{'run_name': 'run 2020-04-07-07-05', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 256, 'filters_1': 128, 'filters_2': 64, 'optimizer': 'Adam', 'val_accuracy': 0.4188034236431122, 'average': 0.37606837606837606, 'grouped_average': 0.5413105413105413}
{'run_name': 'run 2020-04-07-08-56', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 256, 'filters_1': 64, 'filters_2': 64, 'optimizer': 'Adam', 'val_accuracy': 0.38746437430381775, 'average': 0.3732193732193732, 'grouped_average': 0.5754985754985755}
{'run_name': 'run 2020-04-07-10-04', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 128, 'filters_1': 128, 'filters_2': 32, 'optimizer': 'Adam', 'val_accuracy': 0.404558390378952, 'average': 0.30484330484330485, 'grouped_average': 0.5641025641025641}
{'run_name': 'run 2020-04-07-11-14', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 128, 'filters_1': 128, 'filters_2': 64, 'optimizer': 'Adam', 'val_accuracy': 0.38746437430381775, 'average': 0.3732193732193732, 'grouped_average': 0.6239316239316239}
{'run_name': 'run 2020-04-07-13-24', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 256, 'filters_1': 128, 'filters_2': 32, 'optimizer': 'Adam', 'val_accuracy': 0.36752137541770935, 'average': 0.2905982905982906, 'grouped_average': 0.5641025641025641}
{'run_name': 'run 2020-04-07-15-58', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 256, 'filters_1': 128, 'filters_2': 32, 'optimizer': 'Adam', 'val_accuracy': 0.3988603949546814, 'average': 0.36752136752136755, 'grouped_average': 0.5754985754985755}
{'run_name': 'run 2020-04-07-17-56', 'Dropout': 0.25, 'Dropout 1': 0.25, 'Dropout 2': 0.25, 'batch_size': 128, 'filters': 256, 'filters_1': 64, 'filters_2': 64, 'optimizer': 'Adam', 'val_accuracy': 0.4273504316806793, 'average': 0.39886039886039887, 'grouped_average': 0.6068376068376068}
