,0
0,3
1,4
2,2
3,0
4,2
5,2
6,1
7,0
8,5
9,6
10,1
11,5
12,5
13,0
14,0
15,2
16,5
17,6
18,4
19,6
20,5
21,6
22,4
23,5
24,5
25,5
26,3
27,3
28,1
29,2
30,1
31,3
32,0
33,0
34,0
35,0
36,5
37,4
38,5
39,6
40,6
41,6
42,2
43,1
44,0
45,1
46,0
47,2
48,0
49,2
50,1
51,1
52,2
53,6
54,3
55,3
56,0
57,0
58,3
59,1
60,4
61,5
62,1
63,1
64,2
65,6
66,5
67,2
68,3
69,1
70,5
71,4
72,6
73,0
74,3
75,6
76,5
77,3
78,5
79,2
80,6
81,0
82,4
83,4
84,6
85,1
86,5
87,3
88,0
89,6
90,3
91,0
92,1
93,1
94,0
95,5
96,3
97,2
98,5
99,2
100,0
101,6
102,0
103,4
104,3
105,5
106,6
107,1
108,6
109,0
110,4
111,4
112,3
113,2
114,1
115,3
116,0
117,6
118,5
119,6
120,5
121,1
122,4
123,2
124,3
125,0
126,2
127,0
128,6
129,3
130,6
131,2
132,0
133,6
134,1
135,3
136,4
137,5
138,0
139,0
140,1
141,4
142,4
143,5
144,6
145,2
146,3
147,2
148,1
149,3
150,5
151,5
152,1
153,3
154,6
155,0
156,0
157,1
158,4
159,1
160,2
161,4
162,3
163,6
164,2
165,1
166,4
167,6
168,2
169,1
170,4
171,1
172,0
173,3
174,0
175,2
176,2
177,3
178,2
179,2
180,1
181,5
182,4
183,5
184,6
185,3
186,2
187,4
188,6
189,1
190,6
191,1
192,1
193,0
194,6
195,1
196,3
197,6
198,5
199,1
200,3
201,0
202,2
203,2
204,6
205,1
206,6
207,1
208,3
209,6
210,3
211,1
212,2
213,1
214,5
215,4
216,2
217,1
218,0
219,2
220,3
221,4
222,0
223,2
224,3
225,5
226,2
227,0
228,4
229,6
230,3
231,3
232,0
233,6
234,4
235,2
236,1
237,5
238,6
239,0
240,1
241,2
242,1
243,5
244,3
245,0
246,5
247,5
248,3
249,0
250,1
251,6
252,1
253,2
254,4
255,0
256,3
257,6
258,6
259,0
260,0
261,6
262,3
263,3
264,6
265,6
266,6
267,0
268,3
269,6
270,2
271,2
272,2
273,6
274,2
275,3
276,4
277,5
278,4
279,4
280,1
281,4
282,3
283,4
284,1
285,2
286,1
287,6
288,0
289,0
290,2
291,3
292,5
293,4
294,1
295,5
296,2
297,0
298,2
299,1
300,0
301,4
302,4
303,1
304,5
305,2
306,1
307,5
308,3
309,3
310,5
311,0
312,6
313,6
314,4
315,3
316,4
317,2
318,1
319,2
320,0
321,6
322,6
323,2
324,6
325,2
326,4
327,6
328,5
329,3
330,1
331,6
332,0
333,4
334,3
335,6
336,5
337,5
338,4
339,6
340,2
341,1
342,4
343,1
344,2
345,6
346,6
347,6
348,4
349,5
350,1
351,5
352,3
353,3
354,1
355,1
356,4
357,6
358,0
359,5
360,4
361,0
362,6
363,4
364,0
365,1
366,2
367,0
368,1
369,6
370,5
371,2
372,3
373,4
374,1
375,2
376,4
377,0
378,1
379,5
380,2
381,2
382,1
383,0
384,1
385,4
386,3
387,4
388,0
389,2
390,4
391,0
392,0
393,1
394,6
395,5
396,4
397,2
398,0
399,1
400,5
401,1
402,4
403,4
404,5
405,3
406,4
407,0
408,5
409,6
410,3
411,3
412,1
413,1
414,1
415,5
416,2
417,1
418,1
419,0
420,4
421,2
422,5
423,2
424,3
425,0
426,5
427,4
428,1
429,0
430,5
431,0
432,0
433,1
434,5
435,5
436,2
437,0
438,3
439,1
440,1
441,3
442,3
443,2
444,1
445,2
446,2
447,6
448,6
449,5
450,0
451,4
452,6
453,1
454,3
455,3
456,4
457,3
458,2
459,0
460,6
461,2
462,0
463,6
464,5
465,3
466,0
467,4
468,6
469,6
470,4
471,3
472,3
473,4
474,1
475,5
476,2
477,3
478,5
479,5
480,1
481,5
482,1
483,4
484,4
485,5
486,2
487,6
488,6
489,2
490,1
491,0
492,4
493,3
494,3
495,6
496,0
497,2
498,0
499,2
500,4
501,1
502,4
503,6
504,1
505,3
506,2
507,2
508,0
509,5
510,5
511,5
512,5
513,4
514,0
515,4
516,3
517,4
518,4
519,1
520,1
521,5
522,2
523,2
524,2
525,2
526,6
527,5
528,5
529,5
530,0
531,3
532,0
533,1
534,2
535,0
536,6
537,6
538,1
539,3
540,2
541,0
542,5
543,2
544,5
545,3
546,5
547,5
548,5
549,2
550,0
551,3
552,4
553,1
554,0
555,0
556,0
557,3
558,5
559,0
560,3
561,6
562,3
563,2
564,6
565,2
566,6
567,1
568,4
569,3
570,4
571,5
572,6
573,2
574,0
575,4
576,3
577,1
578,3
579,1
580,4
581,2
582,2
583,6
584,2
585,1
586,1
587,5
588,6
589,2
590,0
591,6
592,1
593,5
594,3
595,6
596,0
597,6
598,3
599,3
600,3
601,5
602,3
603,0
604,0
605,0
606,0
607,3
608,3
609,3
610,4
611,5
612,5
613,4
614,0
615,0
616,5
617,5
618,6
619,0
620,5
621,2
622,6
623,2
624,0
625,3
626,0
627,3
628,6
629,6
630,0
631,0
632,4
633,3
634,4
635,4
636,4
637,3
638,1
639,2
640,4
641,3
642,2
643,4
644,3
645,6
646,1
647,1
648,6
649,2
650,0
651,2
652,0
653,2
654,0
655,2
656,5
657,6
658,2
659,1
660,6
661,4
662,4
663,1
664,4
665,0
666,1
667,3
668,4
669,1
670,6
671,5
672,3
673,4
674,3
675,4
676,5
677,0
678,3
679,2
680,4
681,6
682,5
683,4
684,1
685,0
686,2
687,1
688,6
689,3
690,4
691,4
692,3
693,6
694,6
695,5
696,4
697,2
698,3
699,0
700,0
701,5
702,3
703,2
704,1
705,4
706,1
707,3
708,3
709,1
710,5
711,2
712,3
713,3
714,1
715,3
716,1
717,0
718,1
719,6
720,1
721,4
722,0
723,4
724,1
725,1
726,0
727,4
728,5
729,0
730,3
731,2
732,3
733,4
734,1
735,1
736,6
737,1
738,4
739,3
740,3
741,6
742,0
743,5
744,2
745,1
746,1
747,5
748,4
749,6
750,6
751,2
752,6
753,1
754,5
755,4
756,5
757,0
758,6
759,1
760,6
761,5
762,1
763,5
764,1
765,3
766,1
767,0
768,0
769,3
770,4
771,0
772,4
773,1
774,1
775,4
776,5
777,4
778,1
779,6
780,2
781,0
782,2
783,3
784,5
785,0
786,1
787,3
788,6
789,3
790,1
791,0
792,1
793,0
794,6
795,5
796,0
797,0
798,0
799,0
800,4
801,3
802,3
803,0
804,2
805,0
806,0
807,0
808,3
809,4
810,3
811,6
812,0
813,0
814,2
815,4
816,1
817,1
818,4
819,4
820,3
821,4
822,6
823,5
824,0
825,5
826,1
827,5
828,3
829,4
830,1
831,2
832,2
833,2
834,0
835,3
836,4
837,4
838,2
839,2
840,0
841,5
842,1
843,1
844,3
845,6
846,5
847,1
848,6
849,0
850,6
851,5
852,5
853,5
854,1
855,6
856,1
857,0
858,1
859,6
860,5
861,0
862,5
863,4
864,5
865,6
866,2
867,0
868,2
869,6
870,5
871,1
872,2
873,6
874,2
875,6
876,5
877,5
878,4
879,1
880,0
881,2
882,1
883,5
884,0
885,3
886,5
887,2
888,6
889,0
890,5
891,6
892,4
893,3
894,4
895,6
896,5
897,0
898,0
899,3
900,6
901,0
902,2
903,1
904,5
905,4
906,4
907,5
908,3
909,1
910,1
911,3
912,4
913,3
914,0
915,5
916,0
917,1
918,6
919,2
920,2
921,5
922,2
923,6
924,2
925,2
926,5
927,1
928,4
929,1
930,6
931,5
932,2
933,6
934,5
935,4
936,2
937,0
938,4
939,2
940,2
941,1
942,2
943,0
944,4
945,0
946,1
947,1
948,2
949,0
950,0
951,6
952,2
953,5
954,6
955,3
956,2
957,2
958,6
959,5
960,2
961,2
962,2
963,5
964,6
965,1
966,0
967,0
968,0
969,0
970,4
971,6
972,2
