,frameIndex,frameTime,pcm_fftMag_mfcc[0],pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],gender,person_id,sentence_type,sentence_id,emotion
0,0,0.000000,7.244975e+00,-8.158391e+00,-6.804606e+00,-5.951050e+00,1.604601e+01,4.259685e+00,2.918404e+00,3.899431e+00,-8.787468e+00,2.029931e+00,-9.035371e+00,-1.614401e+00,-9.214661e+00,0,5,1,l3,4
1,0,0.000000,3.385026e+00,9.644617e+00,-3.468472e+00,6.205656e+00,1.331692e+01,4.477325e+00,-3.002632e+00,-2.112964e+01,-4.892778e+00,-1.155352e+01,6.817298e+00,5.058506e+00,-3.031255e+01,0,5,1,l1,4
2,0,0.000000,5.719598e+00,5.727946e+00,6.571836e+00,1.976121e+01,1.795665e+01,1.209366e+01,-2.149866e-01,-4.745448e+00,-3.547788e+00,-9.468735e+00,-1.699346e+00,-1.552975e+00,-2.919722e+01,0,5,1,l3,1
3,0,0.000000,9.506989e+00,2.332658e+00,9.255537e+00,1.197534e+01,-1.812942e+00,-4.267380e+00,-8.245754e-02,-3.468761e+00,3.021540e+00,-7.509672e+00,1.421265e+00,-3.389780e+00,-2.463929e+01,0,5,3,ns4,3
4,0,0.000000,1.360378e+01,6.097164e+00,2.375498e+00,3.607834e+00,-9.201900e+00,9.861489e+00,1.729691e+01,-2.057631e+00,5.679283e+00,6.142972e+00,-7.221199e+00,-1.418295e+01,-2.274774e+01,0,5,1,l4,1
5,0,0.000000,-1.110692e+00,3.496757e+00,1.280658e+01,4.633654e+00,9.964194e+00,1.210443e+01,2.116055e+01,8.621967e+00,9.953026e+00,4.060872e+00,5.149052e-01,1.133625e+01,-6.832802e+00,0,5,3,ns5,2
6,0,0.000000,-9.806012e+00,-8.995708e+00,1.853807e+00,4.762319e+00,1.142224e+01,7.221384e+00,3.814004e+00,9.289082e+00,1.869430e+01,-1.775268e+00,6.614155e+00,8.202287e+00,1.067041e+01,0,5,1,l2,1
7,0,0.000000,-5.014016e+00,-2.034381e+01,-2.519895e+00,-4.502760e+00,3.164615e+01,8.646328e+00,9.248049e+00,-7.962303e+00,-7.318115e-01,4.780293e+00,-1.002823e+01,-2.025344e+00,1.728508e+00,0,5,1,l3,0
8,0,0.000000,6.010820e+00,1.221527e+01,-4.562640e+00,3.315420e-01,-1.880492e+00,-2.106438e+00,-4.131440e+00,-2.581210e-01,1.640420e+01,-6.173100e+00,-1.894358e+00,2.138709e+00,-1.592146e+01,0,5,1,l4,2
9,0,0.000000,-1.058862e+00,1.053630e+01,2.864140e+00,1.016751e+01,6.662240e+00,5.118583e-01,4.872222e+00,-9.598365e+00,1.014139e+01,-7.828257e+00,8.739641e-01,3.328543e+00,-2.228820e+01,0,5,3,ns4,4
10,0,0.000000,3.020494e+00,8.986047e+00,-9.346277e+00,2.350275e+00,1.184916e+01,9.253429e+00,6.532819e+00,-8.089073e+00,7.824851e+00,-6.867867e+00,6.929607e-01,7.990572e+00,-1.630979e+01,0,5,1,l5,4
11,0,0.000000,1.039130e+01,8.263735e+00,-3.623916e+00,-6.338770e+00,-6.939322e+00,8.094801e+00,3.927266e+00,1.122722e+00,2.027895e+00,3.807698e+00,-2.589478e+00,-1.086638e+01,-1.310019e+01,0,5,1,l4,0
12,0,0.000000,-1.667920e+01,2.354979e+01,5.310881e+00,-5.818240e+00,2.530294e+01,-4.077613e+00,2.964306e+00,5.497639e+00,7.364368e-02,-8.705288e+00,1.616356e+00,4.165230e+00,-1.558079e+01,0,5,2,q1,4
13,0,0.000000,-1.024934e+01,1.302645e+01,1.542531e+00,1.493174e+00,1.470032e+00,1.809985e+00,6.006207e+00,-1.220833e+01,9.926508e+00,-7.344511e+00,1.796559e+00,5.333390e+00,-1.123692e+01,0,5,2,q2,4
