,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,emotion
0,0,0.000000,7.244975e+00,-8.158391e+00,-6.804606e+00,-5.951050e+00,1.604601e+01,4.259685e+00,2.918404e+00,3.899431e+00,-8.787468e+00,2.029931e+00,-9.035371e+00,-1.614401e+00,-5.076307e+00,2.844814e+00,-2.205140e+00,-6.808017e+00,4.191515e+00,-2.482116e+00,1.166174e+00,-2.673707e-01,1.152597e+00,-3.295849e-02,-6.062410e-02,-3.292468e-01,2.754419e-01,-1.949829e-15,-4.786840e-01,1.147116e+00,8.848992e-01,-2.968234e-01,4.292562e+00,-6.449714e-01,2.093833e+00,-3.532904e+00,4.881777e+00,-6.583385e+00,-1.775027e+00,1.890326e+00,-2.725425e+00,-6.718104e-01,-2.687695e+00,3.584217e-01,-4.300512e-01,-3.543046e-01,-7.301753e-01,-1.874824e+00,-1.089409e+01,5.951050e+00,-9.214661e+00, 4
1,0,0.000000,3.385026e+00,9.644617e+00,-3.468472e+00,6.205656e+00,1.331692e+01,4.477325e+00,-3.002632e+00,-2.112964e+01,-4.892778e+00,-1.155352e+01,6.817298e+00,5.058506e+00,-4.854015e+00,-3.256311e+00,-7.440106e+00,-2.871469e+00,-2.463643e-01,-1.924382e+00,2.005407e+00,-1.362979e+00,6.053817e-01,-5.084217e-01,-1.922497e-01,9.384914e-02,5.550044e-01,-1.181457e-13,-9.645296e-01,-3.269762e-01,2.806172e+00,-4.578838e+00,2.254592e+00,-3.287874e+00,3.600652e+00,-2.739056e+00,-2.869356e-01,-2.776724e+00,-5.988912e+00,-2.163757e+00,-2.606078e+00,2.105029e+00,2.027898e+00,-2.039990e+00,-2.394484e-01,1.919852e+00,7.512498e-01,-1.970615e+00,-9.041232e+00,-6.205655e+00,-3.031255e+01, 4
2,0,0.000000,5.719598e+00,5.727946e+00,6.571836e+00,1.976121e+01,1.795665e+01,1.209366e+01,-2.149866e-01,-4.745448e+00,-3.547788e+00,-9.468735e+00,-1.699346e+00,-1.552975e+00,-2.066811e+00,3.403913e+00,-3.106861e+00,6.944388e-01,1.256298e+00,3.319895e+00,-1.557892e+00,2.861499e-01,-4.464006e-01,2.257416e-01,-2.192227e-01,-8.094083e-01,-5.787434e-01,-1.001094e-13,1.005785e+00,2.820028e+00,3.199883e+00,2.033026e+00,-1.662508e+00,6.902721e-01,-2.797153e+00,4.725350e+00,1.463186e+00,6.715249e-01,-2.500867e+00,2.261835e+00,-1.109652e+00,-6.462486e-01,-5.054938e-01,-1.671882e+00,-1.736259e-01,4.311742e-01,5.378908e-02,-5.322807e+00,-1.219128e+01,-1.976121e+01,-2.919722e+01, 1
3,0,0.000000,9.506989e+00,2.332658e+00,9.255537e+00,1.197534e+01,-1.812942e+00,-4.267380e+00,-8.245754e-02,-3.468761e+00,3.021540e+00,-7.509672e+00,1.421265e+00,-3.389780e+00,-2.642266e+00,-1.159206e+00,1.284663e+00,5.766882e+00,1.793377e+00,1.158581e+00,2.142205e+00,1.597996e+00,-2.756201e-01,5.993745e-02,2.527595e-03,-1.083393e-01,1.239012e-01,-7.427229e-14,-2.153249e-01,3.774616e-01,-3.689408e-02,5.397956e-01,-1.026477e+00,3.854802e+00,3.846271e+00,1.649060e+00,2.088712e+00,5.576602e+00,1.034089e+00,-7.702707e-01,-1.418609e+00,-1.410610e+00,4.227749e-01,-1.325974e+00,1.478718e-01,3.151737e-01,2.063143e-02,1.878212e+00,1.230858e+00,-1.197534e+01,-2.463929e+01, 3
4,0,0.000000,1.360378e+01,6.097164e+00,2.375498e+00,3.607834e+00,-9.201900e+00,9.861489e+00,1.729691e+01,-2.057631e+00,5.679283e+00,6.142972e+00,-7.221199e+00,-1.418295e+01,4.562712e+00,1.301762e+01,-8.175315e+00,-5.065185e+00,-2.271103e+00,7.668347e-01,-3.294261e+00,1.032574e+00,7.670572e-01,2.059473e-01,6.939601e-02,1.008810e+00,-3.012719e-01,-6.425112e-14,5.235736e-01,-3.514755e+00,-1.012939e+00,1.854758e+00,2.856713e+00,2.490847e+00,-5.914755e+00,1.091470e+00,-2.645110e+00,-4.898058e+00,-6.580719e+00,8.649960e+00,2.449680e+00,-5.902041e+00,-2.148044e+00,1.084657e+00,2.779390e-01,1.869575e-01,-4.327635e+00,-4.340359e+00,6.247424e+00,-3.607833e+00,-2.274774e+01, 1
5,0,0.000000,-1.110692e+00,3.496757e+00,1.280658e+01,4.633654e+00,9.964194e+00,1.210443e+01,2.116055e+01,8.621967e+00,9.953026e+00,4.060872e+00,5.149052e-01,1.133625e+01,-7.475500e+00,6.962348e+00,-7.657353e+00,6.310676e+00,6.231248e+00,4.031979e+00,2.960685e-01,-7.212284e-01,6.873597e-02,-2.925286e-01,3.728923e-01,1.488670e-01,-1.155722e-01,-7.339452e-15,2.008500e-01,-5.186621e-01,-5.442920e+00,-2.634507e+00,2.559901e-01,-1.739799e+00,5.315833e-01,5.738892e+00,7.257417e+00,6.102455e+00,-6.163787e+00,4.626348e+00,-4.013530e+00,4.717423e+00,1.531659e-01,7.170230e-01,4.870923e-01,-7.833970e-01,-5.294306e+00,-5.327548e+00,-6.764975e+00,-4.633654e+00,-6.832802e+00, 2
6,0,0.000000,-9.806012e+00,-8.995708e+00,1.853807e+00,4.762319e+00,1.142224e+01,7.221384e+00,3.814004e+00,9.289082e+00,1.869430e+01,-1.775268e+00,6.614155e+00,8.202287e+00,-1.195335e-02,-1.088387e+00,-4.888397e+00,1.019834e+00,-1.083274e+00,7.725616e-01,1.228900e+00,1.309273e+00,1.502496e-01,2.749417e-01,1.499087e-01,-5.330151e-01,-2.254040e+00,3.893842e-14,3.917246e+00,1.857058e+00,-2.188141e+00,2.476121e+00,5.595673e-01,3.158321e+00,2.206456e+00,1.099620e+00,-1.261669e+00,9.861842e-01,-3.934915e+00,-7.232161e-01,-6.418228e-03,3.413271e+00,1.967471e+00,-3.134567e-01,9.148821e-01,-8.440115e-01,-9.542522e-01,-3.178363e+00,-7.754887e+00,-4.762319e+00,1.067041e+01, 1
7,0,0.000000,-5.014016e+00,-2.034381e+01,-2.519895e+00,-4.502760e+00,3.164615e+01,8.646328e+00,9.248049e+00,-7.962303e+00,-7.318115e-01,4.780293e+00,-1.002823e+01,-2.025344e+00,7.008539e+00,2.547615e+00,5.309098e+00,-1.817909e+00,7.853729e+00,-1.179806e-01,2.980819e+00,-7.415844e-01,-9.355979e-02,-2.957771e-01,2.400546e-01,8.209604e-01,-4.295320e-01,2.253858e-14,7.464743e-01,-2.860276e+00,-3.503956e+00,-2.663763e+00,-3.484403e-01,-1.788903e+00,5.351978e+00,-1.679268e-01,9.147087e+00,-1.757926e+00,4.273558e+00,1.692844e+00,3.762823e+00,-8.428206e-01,-2.983032e+00,8.440505e-01,-3.581417e-02,7.234596e-01,-2.313834e+00,-3.805525e+00,-2.148547e+01,4.502760e+00,1.728508e+00, 0
8,0,0.000000,6.010820e+00,1.221527e+01,-4.562640e+00,3.315420e-01,-1.880492e+00,-2.106438e+00,-4.131440e+00,-2.581210e-01,1.640420e+01,-6.173100e+00,-1.894358e+00,2.138709e+00,-9.118671e-01,-6.867290e-01,1.633235e+00,-1.971594e+00,-1.465161e-01,2.366480e+00,2.100981e+00,9.144168e-01,2.000621e-01,4.586024e-01,1.190574e-01,-3.614464e-01,7.816418e-01,-6.235459e-14,-1.358397e+00,1.259301e+00,-1.737820e+00,4.130165e+00,7.450823e-01,2.205822e+00,3.772251e+00,3.368313e+00,-1.706445e-01,-1.906542e+00,1.314673e+00,-4.563179e-01,-4.895727e-01,8.899944e-01,-5.635026e-01,-1.089977e+00,8.028076e-01,2.345303e-02,1.033673e+00,9.271097e-01,1.276720e+00,-3.315420e-01,-1.592146e+01, 2
9,0,0.000000,-1.058862e+00,1.053630e+01,2.864140e+00,1.016751e+01,6.662240e+00,5.118583e-01,4.872222e+00,-9.598365e+00,1.014139e+01,-7.828257e+00,8.739641e-01,3.328543e+00,-2.557389e+00,2.745084e+00,-3.823037e+00,2.533211e+00,-3.447638e+00,1.641250e-02,-1.079158e+00,2.983197e-01,1.284663e+00,1.440440e-01,-2.024937e-01,-5.866395e-01,-4.526805e-01,-9.370998e-14,7.867033e-01,2.043888e+00,2.955698e+00,1.297257e+00,4.784407e+00,7.196285e-01,-1.937598e+00,2.336168e-02,-4.015398e+00,2.449627e+00,-3.077354e+00,1.824056e+00,-1.373039e+00,1.385130e+00,2.599729e-01,-1.382225e+00,4.963113e-01,8.721129e-01,-1.219015e+00,-2.252859e-01,-4.523184e+00,-1.016751e+01,-2.228820e+01, 4
