,0
0,"[[ 0.000000e+00  0.000000e+00 -2.746883e+00 ... -3.321906e+00
  -7.890698e+00  5.698227e+00]
 [ 1.000000e+00  1.000000e-02  5.674477e-01 ...  2.773385e+00
  -4.549877e+00  6.784790e+00]
 [ 2.000000e+00  2.000000e-02  1.063840e+00 ...  5.366944e+00
  -3.689753e+00  6.108765e+00]
 ...
 [ 9.300000e+01  9.300000e-01  2.347147e+00 ...  7.236919e-01
  -7.664579e+00 -3.982651e+00]
 [ 9.400000e+01  9.400000e-01  3.410085e+00 ... -1.752249e+00
  -8.177073e+00 -4.060295e+00]
 [ 9.500000e+01  9.500000e-01  4.727669e+00 ... -5.392554e+00
  -7.306802e+00 -4.881371e+00]]"
1,"[[ 0.000000e+00  0.000000e+00  1.266397e+00 ... -7.459186e+00
  -4.618474e+00 -1.063870e+01]
 [ 1.000000e+00  1.000000e-02 -1.849065e+00 ... -7.192786e+00
  -7.301602e+00 -1.164596e+01]
 [ 2.000000e+00  2.000000e-02 -4.001239e+00 ...  1.395481e+00
  -5.111858e+00 -5.776894e+00]
 ...
 [ 9.300000e+01  9.300000e-01 -1.213954e+00 ...  6.103342e+00
  -1.232556e+00  3.532127e+00]
 [ 9.400000e+01  9.400000e-01 -1.322305e+00 ...  1.496618e+00
  -1.856759e+00  5.998482e+00]
 [ 9.500000e+01  9.500000e-01 -4.398591e+00 ...  8.004761e-02
  -2.987146e-01  7.925621e+00]]"
2,"[[ 0.000000e+00  0.000000e+00 -2.211987e+00 ... -3.679749e+00
   7.541665e+00 -3.110065e+01]
 [ 1.000000e+00  1.000000e-02 -2.820236e+00 ... -6.951526e+00
   6.796803e+00 -3.231798e+01]
 [ 2.000000e+00  2.000000e-02 -2.105824e+00 ... -6.792490e+00
   9.863030e+00 -3.250231e+01]
 ...
 [ 9.300000e+01  9.300000e-01  6.072583e+00 ... -9.215776e+00
   2.314219e+00  1.976921e+00]
 [ 9.400000e+01  9.400000e-01  5.689061e+00 ... -8.186954e+00
  -4.554367e-02  1.996574e+00]
 [ 9.500000e+01  9.500000e-01  6.875215e+00 ... -7.202061e+00
   1.302794e+00  2.150177e+00]]"
3,"[[ 0.000000e+00  0.000000e+00 -2.032393e+01 ...  8.683979e+00
   6.880980e-01  3.679932e+00]
 [ 1.000000e+00  1.000000e-02 -2.079041e+01 ...  1.063534e+01
   2.769306e+00  3.725159e+00]
 [ 2.000000e+00  2.000000e-02 -2.088745e+01 ...  8.497660e+00
   3.736689e+00  3.227776e+00]
 ...
 [ 9.300000e+01  9.300000e-01  6.071903e+00 ...  3.384596e+00
  -5.350298e+00 -6.843262e+00]
 [ 9.400000e+01  9.400000e-01  4.159540e+00 ... -7.847030e-01
  -4.275557e+00 -8.436493e+00]
 [ 9.500000e+01  9.500000e-01  1.635417e+00 ... -2.279138e+00
  -2.955298e-01 -9.941650e+00]]"
4,"[[ 0.000000e+00  0.000000e+00  7.274623e+00 ...  4.795108e+00
  -5.305216e+00  2.465561e+00]
 [ 1.000000e+00  1.000000e-02  6.154964e+00 ...  3.812931e+00
  -7.087946e+00  1.844322e+00]
 [ 2.000000e+00  2.000000e-02  6.237337e+00 ...  3.082960e+00
  -9.255775e+00  1.911308e+00]
 ...
 [ 9.300000e+01  9.300000e-01  8.935995e-01 ... -1.768871e+01
   1.129779e+00  1.028763e+00]
 [ 9.400000e+01  9.400000e-01  8.328438e-03 ... -1.369128e+01
  -1.889591e-01 -1.773987e-01]
 [ 9.500000e+01  9.500000e-01 -2.744388e+00 ... -1.194690e+01
  -3.388979e+00 -2.804260e+00]]"
5,"[[ 0.000000e+00  0.000000e+00 -5.318559e+00 ...  1.083024e+01
   4.479669e+00 -1.291783e+01]
 [ 1.000000e+00  1.000000e-02 -5.423120e+00 ...  1.126458e+01
   5.884302e+00 -1.469365e+01]
 [ 2.000000e+00  2.000000e-02 -3.927423e+00 ...  9.539681e+00
   3.760644e+00 -1.533670e+01]
 ...
 [ 9.300000e+01  9.300000e-01  9.179468e-01 ... -5.316708e+00
   2.663498e-01  1.017802e+01]
 [ 9.400000e+01  9.400000e-01 -2.048419e+00 ...  1.799040e-01
   7.602112e+00  9.955826e+00]
 [ 9.500000e+01  9.500000e-01 -2.993600e+00 ...  1.506447e+00
   8.511611e+00  1.013993e+01]]"
6,"[[ 0.000000e+00  0.000000e+00 -1.490726e+00 ... -3.332519e+00
  -1.000254e+01 -1.255428e+01]
 [ 1.000000e+00  1.000000e-02 -2.949658e+00 ...  5.950667e-01
  -5.778453e+00 -1.541385e+01]
 [ 2.000000e+00  2.000000e-02 -6.660239e+00 ...  5.254457e+00
   4.398686e-01 -1.616117e+01]
 ...
 [ 9.300000e+01  9.300000e-01  2.833302e+00 ...  2.128282e+00
  -8.681745e+00  9.711777e+00]
 [ 9.400000e+01  9.400000e-01  7.211857e-01 ...  2.681355e+00
  -9.080173e+00  1.217673e+01]
 [ 9.500000e+01  9.500000e-01 -5.955248e-01 ...  2.905337e+00
  -8.308052e+00  1.271974e+01]]"
7,"[[ 0.000000e+00  0.000000e+00  2.623438e+00 ...  5.987965e+00
  -6.508884e-01  3.126450e-01]
 [ 1.000000e+00  1.000000e-02  2.809285e+00 ...  4.273135e+00
   3.303907e+00 -2.719429e+00]
 [ 2.000000e+00  2.000000e-02  1.110058e-01 ...  1.273569e+01
   9.736076e+00 -3.746880e+00]
 ...
 [ 9.300000e+01  9.300000e-01  5.001806e+00 ... -1.076591e+01
  -9.712706e+00 -4.982887e+00]
 [ 9.400000e+01  9.400000e-01  5.214245e+00 ... -9.562004e+00
  -7.216877e+00 -4.386894e+00]
 [ 9.500000e+01  9.500000e-01  5.026098e+00 ... -8.684538e+00
  -5.979681e+00 -3.638878e+00]]"
8,"[[ 0.000000e+00  0.000000e+00 -6.098032e-02 ...  1.643456e+00
  -2.461996e-01  6.851944e+00]
 [ 1.000000e+00  1.000000e-02  2.093037e+00 ...  7.514038e-01
   1.947913e-01  5.325569e+00]
 [ 2.000000e+00  2.000000e-02  4.026029e+00 ... -5.459809e-01
   1.914239e+00  3.350616e+00]
 ...
 [ 9.300000e+01  9.300000e-01  1.858306e+00 ... -1.353838e+01
  -4.761668e+00  5.350067e+00]
 [ 9.400000e+01  9.400000e-01  2.434333e+00 ... -9.542732e+00
  -4.917099e+00  4.898773e+00]
 [ 9.500000e+01  9.500000e-01  3.339570e+00 ... -6.513908e+00
  -4.151899e+00  3.853142e+00]]"
9,"[[ 0.000000e+00  0.000000e+00  1.359594e+00 ...  6.461852e+00
   3.528185e+00 -1.537352e+01]
 [ 1.000000e+00  1.000000e-02 -1.194593e+00 ...  8.735679e+00
   2.700901e+00 -1.615562e+01]
 [ 2.000000e+00  2.000000e-02 -5.680095e+00 ...  9.335543e+00
   5.364634e+00 -1.578948e+01]
 ...
 [ 9.300000e+01  9.300000e-01 -2.405078e+00 ...  2.089977e-01
   6.249624e+00  5.373764e-01]
 [ 9.400000e+01  9.400000e-01  1.289362e+00 ...  1.725903e+00
   2.668472e+00  7.565308e-01]
 [ 9.500000e+01  9.500000e-01  2.000193e+00 ...  3.182420e+00
   9.837160e-01 -4.982910e-01]]"
