,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0.000000,-7.587515e+00,1.084938e+00,4.119291e+00,7.184972e-01,2.006619e+00,1.874687e+00,4.341534e+00,-1.080983e+00,-4.277476e+00,2.061932e+00,-5.431424e+00,3.665536e+00,1.801020e-01,"-1.699719e+01
",4
1,0,0.000000,-1.018668e+01,8.469157e-01,4.490105e+00,3.815578e+00,8.549407e+00,9.240865e+00,4.710853e+00,1.387260e+00,2.621647e+00,3.750151e+00,3.900218e+00,1.071554e+01,2.655096e+00,"-1.856758e+01
",6
2,0,0.000000,3.678035e+00,1.624440e+00,2.373486e+00,-3.011025e+00,3.326909e+00,1.808864e-01,4.065745e+00,-4.958816e+00,-1.961642e+00,3.529304e+00,-5.382727e+00,4.526078e+00,-2.994778e+00,"-3.080364e+01
",7
3,0,0.000000,-5.866013e+00,1.697567e+00,2.581200e+00,7.526067e+00,7.593242e+00,1.055432e+01,6.752986e+00,1.631695e+00,-2.718328e+00,7.850684e+00,1.860641e+00,6.141254e+00,5.587798e+00,"-1.623720e+01
",3
4,0,0.000000,-9.476140e+00,-1.056545e+00,2.237394e+00,-3.066216e-01,-1.067519e+00,6.725632e+00,8.228628e+00,5.828207e+00,-3.001008e+00,2.404933e-01,-6.452055e+00,3.846337e+00,3.437709e+00,"-1.788525e+01
",4
5,0,0.000000,-6.408392e+00,1.399643e+00,3.053548e+00,5.491231e+00,9.532577e+00,1.355779e+01,5.419356e+00,5.093343e+00,2.853749e+00,8.894720e+00,7.394125e+00,5.098411e+00,1.744148e+00,"-1.717983e+01
",8
6,0,0.000000,-9.472552e+00,-1.885743e-01,9.416931e-01,2.700392e+00,-1.532500e+00,2.776052e+00,4.416399e+00,-5.295567e+00,-1.412013e+00,-2.229505e+00,-6.948680e+00,3.243889e+00,4.150689e+00,"-2.195850e+01
",7
7,0,0.000000,-8.277563e+00,-1.908663e+00,-2.348166e+00,9.699378e-01,4.955469e+00,1.701280e+00,4.492741e+00,4.013921e+00,1.619817e+00,-2.408961e-01,-4.729879e-01,5.670012e+00,6.125089e+00,"-1.422463e+01
",4
8,0,0.000000,-5.720100e+00,5.477177e+00,3.567657e+00,4.512972e+00,8.215813e+00,4.993464e+00,6.563276e+00,8.785763e-01,-2.979877e+00,2.773840e+00,5.673432e-01,3.082571e+00,-7.018195e-01,"-1.906458e+01
",5
9,0,0.000000,-8.601816e+00,1.005691e+00,3.430093e+00,9.570181e+00,1.150585e+01,8.673896e+00,1.067441e+01,1.716573e+00,2.873678e-01,9.719310e+00,3.909980e+00,5.322639e+00,3.394410e+00,"-1.327832e+01
",7
10,0,0.000000,-7.769267e+00,5.211131e+00,1.254781e+00,2.759629e+00,7.510877e+00,3.393837e+00,-7.359881e-01,4.541086e+00,6.437774e-01,6.017284e+00,-2.256301e+00,-1.459492e-01,2.894855e+00,"-2.851571e+01
",3
11,0,0.000000,-8.493503e+00,-8.392622e-01,-4.263930e+00,-3.544261e+00,6.190248e+00,9.941557e+00,2.490724e+00,7.422578e+00,1.799949e+00,4.792130e+00,-2.277115e+00,5.097223e+00,-3.859015e+00,"-1.840905e+01
",4
12,0,0.000000,-9.320889e+00,4.299631e-01,-2.692510e+00,1.820237e+00,1.406847e+00,2.647148e+00,3.297348e+00,1.750633e+00,-1.004126e+00,-2.118796e+00,-1.579173e+00,4.828470e+00,4.944276e+00,"-1.720693e+01
",7
